ds,y,precip,min_temp,max_temp,avg_temp,temp_80,temp_26,month,season,temp_low,temp_high
2012-01-01,118916.0,0.059699999999999996,38.78,50.77,46.51,0,0,1,0,0,0
2012-01-02,127270.9,0.0,33.57,49.78,40.49666666666667,0,0,1,0,0,0
2012-01-03,146292.3,0.0,16.47,33.14,26.672500000000003,0,0,1,0,1,0
2012-01-04,152070.4,0.0,13.4,31.83,20.585,0,1,1,0,1,0
2012-01-05,147125.90000000002,0.0,27.31,39.16,33.5775,0,0,1,0,0,0
2012-01-06,140820.89999999997,0.0,33.66,51.94,43.40083333333334,0,0,1,0,0,0
2012-01-07,124258.6,0.0,42.92,61.32,51.49791666666667,0,0,1,0,0,1
2012-01-08,122892.99999999997,0.0,34.05,46.75,41.46708333333333,0,0,1,0,0,0
2012-01-09,141379.7,0.0,31.5,40.14,35.36,0,0,1,0,0,0
2012-01-10,140910.3,0.0,34.21,46.57,40.50333333333334,0,0,1,0,0,0
2012-01-11,139896.1,0.01,36.94,46.6,41.69375000000001,0,0,1,0,0,0
2012-01-12,141092.19999999998,1.1495,41.44,45.38,43.33374999999999,0,0,1,0,0,0
2012-01-13,141705.99999999997,0.0228,29.33,48.86,37.62791666666667,0,0,1,0,0,0
2012-01-14,133159.6,0.0,28.16,33.79,30.33583333333333,0,0,1,0,0,0
2012-01-15,133828.99999999997,0.0,15.83,27.16,20.763333333333332,0,1,1,0,1,0
2012-01-16,142919.6,0.017,16.22,39.48,25.914166666666674,0,1,1,0,1,0
2012-01-17,144096.5,0.13899999999999998,36.08,51.2,41.900416666666665,0,0,1,0,0,0
2012-01-18,143046.1,0.0,25.14,53.81,38.50208333333334,0,0,1,0,0,0
2012-01-19,147100.19999999998,0.0,20.24,37.01,28.640833333333337,0,0,1,0,0,0
2012-01-20,145867.9,0.0,24.49,36.31,30.34708333333334,0,0,1,0,0,0
2012-01-21,138063.9,0.2819,23.25,31.22,26.077083333333338,0,0,1,0,1,0
2012-01-22,135038.2,0.0,18.6,34.19,26.61583333333333,0,0,1,0,1,0
2012-01-23,144719.89999999997,0.28350000000000003,33.29,51.78,41.49333333333333,0,0,1,0,0,0
2012-01-24,138738.40000000002,0.0042,42.7,52.12,47.55458333333333,0,0,1,0,0,1
2012-01-25,139900.19999999998,0.0,37.01,43.81,40.229166666666664,0,0,1,0,0,0
2012-01-26,142476.1,0.1372,33.36,40.55,36.802083333333336,0,0,1,0,0,0
2012-01-27,140015.1,0.2135,40.03,58.14,48.95999999999999,0,0,1,0,0,1
2012-01-28,125166.5,0.0,38.15,45.11,42.548750000000005,0,0,1,0,0,0
2012-01-29,124273.90000000001,0.0,34.33,42.77,39.20083333333333,0,0,1,0,0,0
2012-01-30,141622.69999999998,0.0,34.59,39.71,37.12083333333334,0,0,1,0,0,0
2012-01-31,138910.79999999996,0.0,35.13,56.96,46.67041666666666,0,0,1,0,0,0
2012-02-01,136310.4,0.0321,47.19,61.7,54.01083333333333,0,0,2,0,0,1
2012-02-02,137825.3,0.0,37.34,49.9,42.4575,0,0,2,0,0,0
2012-02-03,139875.50000000003,0.0,31.24,43.28,36.81958333333333,0,0,2,0,0,0
2012-02-04,126214.5,0.0,37.14,45.36,41.18083333333333,0,0,2,0,0,0
2012-02-05,124604.89999999998,0.0,31.47,39.55,35.150000000000006,0,0,2,0,0,0
2012-02-06,139299.19999999998,0.0,30.66,50.5,41.06041666666666,0,0,2,0,0,0
2012-02-07,138409.59999999998,0.0,39.37,47.34,42.87291666666667,0,0,2,0,0,0
2012-02-08,141879.20000000004,0.002,31.29,38.58,34.14791666666667,0,0,2,0,0,0
2012-02-09,141239.0,0.0,31.17,45.53,37.3675,0,0,2,0,0,0
2012-02-10,139094.59999999998,0.0,32.5,44.38,39.372499999999995,0,0,2,0,0,0
2012-02-11,129407.30000000002,0.058800000000000005,33.19,38.02,35.78249999999999,0,0,2,0,0,0
2012-02-12,131306.8,0.0,21.35,31.55,27.101666666666663,0,0,2,0,0,0
2012-02-13,143711.69999999998,0.0,24.81,43.03,35.071250000000006,0,0,2,0,0,0
2012-02-14,140562.20000000004,0.0159,36.4,46.44,41.08833333333333,0,0,2,0,0,0
2012-02-15,140273.4,0.0091,40.2,44.96,42.23541666666667,0,0,2,0,0,0
2012-02-16,140946.30000000002,0.1457,36.26,43.27,40.23541666666666,0,0,2,0,0,0
2012-02-17,136885.50000000003,0.0237,40.57,49.86,45.15916666666667,0,0,2,0,0,0
2012-02-18,124297.00000000003,0.0222,35.58,46.3,40.88708333333333,0,0,2,0,0,0
2012-02-19,121258.59999999999,0.0,34.44,43.38,39.00083333333333,0,0,2,0,0,0
2012-02-20,129776.9,0.0,31.6,45.53,37.22458333333334,0,0,2,0,0,0
